@relation EpidemicML
@attribute prophet_probability numeric
@attribute buffer_occupency numeric
@attribute successful_deliveries numeric
@attribute success_ratio numeric
@attribute from_speed numeric
@attribute to_speed numeric
@attribute distance_to_end numeric
@attribute distance_from_source numeric
@attribute message_live_time numeric
@attribute from_energy numeric
@attribute to_energy numeric
@attribute current_hop_count numeric
@attribute is_succesfully_delivered {0,1}
@data
0.877187412,140590,2,0,6.6778347,8.012291711,1752.264581,156.1509786,15757,49025,51007.6,3,0
0.529243787,213338,5,0,11.05161371,0.84715908,562.3951466,1418.432918,5327.7,34581.7,32204.9,14,0
0.907955327,441960,1,0.5,3.273954849,0.525514676,114.647703,0,771.8,89586.8,90786.2,1,1
0.893211808,123346,0,0,0.698257722,4.199602021,2160.909379,1000.914185,2903.6,167793.9,166597.5,4,0
0.935648138,217308,0,0,0.605403558,7.670666869,1338.931761,981.1062275,4628.1,63036,63264.3,7,0
0.817523283,120624,1,0.428571429,7.959506357,9.977965703,1334.290585,0,4411.8,55741.2,54630.5,4,0
0.783389124,504990,0,0,0.566089545,1.235935298,1952.006197,2087.828853,12945.6,125181.7,122752.9,19,0
1,233785,0,0,7.082326188,0.505783694,0,0,8662.7,37819.7,46708.1,1,1
0.811626396,490157,0,0,9.463683401,10.60148526,2059.358251,1480.641914,1016.4,60396.9,55286.2,1,0
1,449567,0,0,9.882597117,0.538777601,0,0,1710.2,33828.2,43602.1,1,1
0.84438091,382320,8,1,0.608764486,12.23300878,1160.718687,1467.004394,13024.1,84527.3,90674,10,0
1,529975,1,0.333333333,9.798113,0.860884085,0,26.93544313,12364.1,96405,103011.6,4,1
0.54246729,703955,0,0,0.723029639,1.351178479,687.9572683,0,459.6999998,47338.7,49748.1,1,1
0.641025711,495273,86,0,7.589051944,5.367173214,103.2972896,674.1073348,9976.3,133175,135034.6,12,0
0.783019708,772112,0,0,0.701390189,5.756643857,953.9453065,701.65845,1952.6,122280.1,122048,2,1
1,327946,0,0,6.707617888,0.577959748,0,1727.677975,5654.3,154818.2,155821.3,10,1
0.885421279,513991,5,0.5,0.880318586,0.527633437,919.4839898,138.0114894,3510.5,120052.5,118497.5,12,0
0.638561986,885585,3,0.75,1.094108148,0.87935687,223.5860822,1432.989787,4591.3,12335.8,14700.8,5,1
0.923255122,558561,1,1,1.455546773,0.505407628,399.4152431,1225.644682,13649.8,122205.3,123673.9,12,0
0.757343846,290169,0,0,0.604243703,1.089711755,872.6874082,398.5636126,11217.9,70324.1,69764.5,3,0
0.900017254,180055,1170,0.998293515,8.094719005,9.133890452,1522.55777,1879.329702,3321.3,59415.8,61079.8,4,1
0.645175951,484718,1,0,11.91404261,9.711553049,1683.991577,1138.929495,5143,145817.7,145642.2,8,0
0.175831307,391498,1,0,0.626823074,0.565847435,523.6989978,1565.045751,1240.4,171390.3,171534.6,5,0
0.86773249,415308,1,1,0.8037501,1.048499314,597.0902192,78.82626128,1064.1,166338.6,166233,2,1
0.820356688,502613,6,0,1.355161645,12.3201223,740.4436585,0,1485.5,131209.7,132211.6,9,0
0.779704418,486458,6,0.6,6.607399403,0.626837433,597.0938919,1319.996531,13928.1,58646.9,59569.2,1,0
0.896700296,63833,5,0.833333333,3.279640739,1.155748799,601.9097336,985.3674222,5264.5,87337.5,88068.9,8,1
0.593097126,475800,5,0.857142857,1.103260415,0.934268825,2273.362721,1726.286699,7016.8,2523.000001,2306.400003,22,0
0.909500137,695904,1,0,1.408611199,1.379629448,711.9118753,1762.695807,4850.3,157845.5,156194.7,5,0
0.924196862,385516,1,0.333333333,1.193630965,8.945136903,1002.642599,1333.593816,1926.6,46686.6,45176.5,3,1
0.620104464,157084,2,1,1.282976413,0.705286766,2053.243313,0,44.3999997,13908.4,14374.9,1,1
1,1978797,0,0,13.74893355,10.47187087,0,1664.177675,7903,87567.9,87158.5,9,1
0.837183761,460891,1,1,1.043129888,0.817446321,1283.040906,976.625351,12056.1,128706.2,127931.5,3,0
0.826799434,366503,1,1,1.11816291,1.47962375,677.785205,1488.341044,13672.6,53155.9,61783.3,9,0
0.580027,436727,4,0,5.374737427,1.138620362,873.6316851,0,10911.3,95071.1,93792.3,14,0
0.894860383,567465,138,1,3.394643208,0.502528596,1452.105842,729.6769114,2784.1,92187.9,91989.4,13,0
1,29177,1,0.5,0.554923015,0.503733337,1426.349323,401.0704676,4639.3,140790.1,142850.5,1,0
0.734600375,156417,0,0,12.70852107,0.812442818,375.2949611,495.3045375,3437.8,153049.8,153252.9,4,0
0.182265019,309142,0,0,0.663075454,6.824232521,234.1451929,2317.706945,512.1,173622.7,173790.6,1,0
0.513896883,321734,0,0,10.38349202,1.15862031,1101.191333,1262.360746,3457.3,54709.8,56520.2,4,1
0.91780997,507762,0,0,0.527633437,10.98447276,1349.238638,979.5017147,7584.2,120799.3,122494.8,19,0
0.759445962,393057,7,0.538461538,0.894789682,1.030082362,2485.265369,243.1221943,13298.5,70655.4,67137.8,11,0
0.388075013,440536,1,0.829545455,1.154738231,7.437911803,1761.596949,0,12026.1,126258.4,128000.3,8,0
0.376059681,159219,1,1,1.113746593,1.256376625,1602.19398,0,3513.9,156231.9,156248.4,1,1
0.879334032,203109,1,0,0.889464266,0.720860814,2256.437351,0,17544,85142.1,85596.6,4,0
1,1090853,2,0.333333333,8.32919219,0.598673055,0,1192.02095,11568.9,50831.8,53124.4,7,1
0.811260588,339194,3,0.333333333,0.832275525,4.324176043,1554.045956,1872.927477,8275.8,3769.2,1552.099999,1,0
0.91551378,27485,1028,1,7.97327553,7.566689062,905.8836954,258.8334318,8072.3,53123.3,51600.3,4,1
0.570279818,450263,0,0,8.750882553,12.83919946,897.7273659,1697.716052,938.4,162891.1,161643.3,5,0
1,488593,0,0,9.21387311,0.965853705,0,1017.550456,1123.4,88549.3,90627.4,3,1
0.888518766,610888,1,0,0.612746852,0.559401946,90.58317098,3184.276853,7253.3,147445.2,148381.9,3,0
1,287559,0,0,3.510395058,11.42316327,0,274.5699147,1363.8,15607.3,15819.2,2,1
